,Less than 1 year,1 to 2 years,3 to 5 years,6 to 9 years,More than 10 years,Low,Average,High
sous chef,,,,,,"47,103","61,350","79,907"
spanish teacher,,,,,,"36,243","57,925","92,576"
special education teacher,"56,032","55,164",-,"63,034","69,667","38,475","60,038","93,688"
specialist,,,,,,10.38,19.67,37.29
speech language pathologist,44.02,45.50,54.43,55.08,-,33.62,48.56,70.12
speech-language pathologist,44.02,45.50,54.43,55.08,-,33.62,48.56,70.12
sr. project manager,,,,,,"79,087","115,107","167,531"
staff accountant,,,,,,"47,580","62,785","82,849"
staff rn,39.50,42.45,44.56,46.17,51.62,28.99,43.70,65.87
staffing and recruiting professional,,,,,,"24,030","55,412","127,777"
store manager,,,,,,"37,658","56,397","84,462"
stylist,,,,,,9.65,18.22,34.38
substitute teacher,21.04,19.10,-,-,-,12.61,19.60,30.45
superintendent,,,,,,"60,589","94,060","146,020"
supervisor,,,,,,11.49,19.29,32.38
system administrator,,,,,,"53,676","83,725","130,595"
system engineer,"103,744","105,458",-,-,"130,367","68,295","109,361","175,118"
systems administrator,,,,,,"53,676","83,725","130,595"
systems analyst,,,,,,"53,090","83,521","131,395"
systems engineer,"103,744","105,458",-,-,"130,367","68,295","109,361","175,118"
talent acquisition specialist,,,,,,"24,030","55,412","127,777"
teacher,17.67,17.70,-,20.64,23.70,9.14,19.18,40.25
teacher assistant,-,15.37,-,17.33,17.03,11.17,15.92,22.69
teaching assistant,-,15.37,-,17.33,17.03,11.17,15.92,22.69
team lead,,,,,,11.56,16.64,23.97
team leader,,,,,,11.56,16.64,23.97
tech,,,,,,12.54,22.26,39.51
technical recruiter,,,,,,"34,034","64,871","123,649"
technician,,,,,,12.54,22.26,39.51
telecommunications professional,,,,,,13.38,22.15,36.65
teller,16.53,-,17.90,18.22,20.42,12.91,17.19,22.89
territory manager,,,,,,"43,458","76,048","133,077"
territory sales manager,,,,,,"52,636","88,320","148,196"
therapist,,,,,,21.25,33.92,54.13
trainer,,,,,,10.57,22.61,48.36
travel agent,,,,,,10.00,18.04,32.53
travel consultant,,,,,,16.39,25.04,38.26
treasurer,,,,,,"37,031","76,799","159,274"
truck driver,"1,849",-,-,"2,102","2,223",926,"1,969","4,188"
underwriter,-,"90,425",-,"102,674",-,"57,360","95,113","157,715"
veterinarian,-,-,-,-,"179,030","83,996","125,839","188,525"
veterinary technician,20.40,-,-,24.10,27.20,15.43,21.83,30.89
vice president,-,-,"169,548",-,"148,071","97,845","158,867","257,947"
vice president of operations,,,,,,"95,051","156,609","258,035"
volunteer,,,,,,7.25,14.74,37.11
vp,-,-,"169,548",-,"148,071","97,845","158,867","257,947"
waitress,-,15.50,-,17.92,-,9.11,16.25,29.00
warehouse associate,,,,,,"27,825","34,834","43,609"
warehouse manager,-,"62,635",-,-,"68,747","45,324","65,945","95,947"
warehouse supervisor,,,,,,"46,436","60,811","79,637"
warehouse worker,16.82,17.08,18.20,18.30,20.99,13.17,17.43,23.06
warehousing professional,16.82,17.08,18.20,18.30,20.99,13.17,17.43,23.06
web developer,"71,691","70,336",-,"93,063","101,411","48,128","79,761","132,184"
welder,23.73,20.42,-,-,25.57,15.89,22.38,31.52
writer,,,,,,13.29,29.58,65.88
writing and editing professional,,,,,,"39,293","67,643","116,446"
