,Less than 1 year,1 to 2 years,3 to 5 years,6 to 9 years,More than 10 years,Low,Average,High
customer service specialist,-,17.42,-,19.26,21.27,9.99,18.13,32.91
customer service supervisor,,,,,,"35,499","56,846","91,030"
customer success manager,"69,089",-,"84,949",-,"107,345","45,656","77,685","132,183"
data analyst,"73,035",-,"81,611",-,"91,219","49,144","77,059","120,829"
data engineer,-,-,-,-,"163,563","81,955","126,923","196,565"
data scientist,"104,971",-,"143,030",-,-,"80,291","124,124","191,885"
delivery driver,,,,,,12.11,18.85,29.34
dental assistant,18.95,20.65,23.71,24.77,26.89,15.90,21.56,29.25
dental hygienist,42.95,-,-,-,58.14,36.16,48.64,65.42
dentist,,,,,,"142,057","231,886","378,517"
deputy sheriff,,,,,,"42,646","63,298","93,952"
design engineer,,,,,,"56,177","88,581","139,677"
design professional,,,,,,"43,121","74,123","127,416"
designer,,,,,,"43,121","74,123","127,416"
developer,,,,,,"34,798","57,528","95,104"
director,,,,,,"58,400","106,786","195,262"
director of business development,,,,,,"66,477","116,389","203,775"
director of development,,,,,,"48,631","92,850","177,275"
director of finance,,,,,,"67,799","110,101","178,797"
director of human resources,"89,165",-,-,"110,604","116,644","66,169","103,287","161,229"
director of marketing,,,,,,"56,994","99,817","174,815"
director of nursing,-,-,-,-,"115,367","73,991","104,507","147,607"
director of operations,,,,,,"60,124","101,718","172,087"
director of sales,,,,,,"53,139","98,461","182,436"
dispatcher,,,,,,14.07,19.13,26.02
district manager,,,,,,"48,442","74,392","114,243"
district sales manager,,,,,,"60,680","99,565","163,368"
doctor,"217,875","134,472",-,"216,349","262,932","101,601","187,065","344,418"
doctor of physical therapy,,,,,,"64,085","85,894","115,124"
domestic engineer,,,,,,9.28,11.58,14.45
driver,,,,,,12.31,18.64,28.23
editor,,,,,,"39,293","67,643","116,446"
education management professional,,,,,,"40,864","65,391","104,638"
educator,,,,,,10.70,21.71,44.06
electrical engineer,"91,598",-,-,"110,375","118,187","67,972","98,472","142,657"
electrician,27.08,27.01,-,31.43,33.42,17.62,28.77,46.97
elementary school teacher,"48,453","48,962",-,"57,220","68,359","32,364","53,402","88,114"
elementary teacher,"48,453","48,962",-,"57,220","68,359","32,364","53,402","88,114"
emt,,,,,,14.37,20.61,29.55
engineer,-,"93,276",-,-,"116,721","61,603","99,803","161,693"
engineering manager,,,,,,"82,340","130,444","206,651"
engineering technician,-,24.43,-,-,29.09,17.25,25.80,38.59
english teacher,35.94,38.06,-,-,53.91,26.75,41.55,64.54
entertainment professional,,,,,,7.49,16.98,38.50
entrepreneur,,,,,,"39,091","83,479","178,268"
environmental services professional,,,,,,11.35,18.38,29.77
escrow officer,,,,,,"36,434","60,370","100,031"
estimator,"71,636","72,929",-,"85,297","87,178","47,975","76,330","121,443"
event coordinator,,,,,,12.80,20.32,32.24
executive administrative assistant,,,,,,15.53,23.18,34.62
executive assistant,-,"61,631",-,"70,019","72,108","40,335","64,698","103,777"
executive chef,"74,074",-,-,-,"86,939","56,206","79,086","111,280"
executive director,,,,,,"51,139","91,855","164,988"
